"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 18 23:43:48 MSK 2022","Fri Feb 18 23:43:53 MSK 2022","4823","","test_add_group","","test_add_group","test_add_group[None:test;test;test]","test_add_group[None:test;test;test]",""
"passed","Fri Feb 18 23:43:53 MSK 2022","Fri Feb 18 23:43:53 MSK 2022","749","","test_add_group","","test_add_group","test_add_group[None:nameBZj;headertaBZ2O0G5Iuq959mifU;footer5NNoDolRy]","test_add_group[None:nameBZj;headertaBZ2O0G5Iuq959mifU;footer5NNoDolRy]",""
